level,pictureUrl,exerciseName,words,noiseLevel,noiseUrl
4,food,Что я ем /+шум толпы/,(бифштекс пюре сок кофе мороженое коктейль),50,crowd
5,food,Что я ем /+шум толпы/,(пицца фри бургер кола капуста котлета),50,crowd
6,food,Что я ем /+шум толпы/,(сыр творог молоко сметана батон хлеб),50,crowd
7,food,Что я ем /+шум толпы/,(лазанья запеканка омлет яичница тост зелень),50,crowd
8,food,Что я ем /+шум толпы/,(салат масло сахар соль перец какао),50,crowd
9,food,Что я ем /+шум толпы/,(ем обедаю завтракаю ужинаю варю жарю),50,crowd
10,food,Что я ем /+шум толпы/,(пончик мюсли ветчина джем варенье йогурт свинина говядина индейка),50,crowd
11,food,Что я ем /+шум толпы/,(рыба морепродукты сэндвич бутерброд баклажан чеснок ягода пирог кефир),50,crowd
1,clothes,Одежда,(майка носки кофта трусы куртка колготы),0,
2,clothes,Одежда,(платье рубашка штаны свитер пуховик шарф),0,
3,clothes,Одежда,(юбка футболка брюки гольфы плащ пижама),0,
4,clothes,Одежда,(шуба сарафан шорты топ костюм рубашка),0,
5,clothes,Одежда,(пальто толстовка халат пиджак купальник джинсы),0,
6,clothes,Одежда,(ветровка капри плавки жакет халат форма),0,
7,clothes,Одежда,(парка комбинезон блузка жилет бельё перчатки),0,
8,clothes,Одежда,(обуться померить одеться раздеться снять постирать),0,
9,clothes,Одежда,(полупальто леггинсы фартук варежки дубленка джемпер),0,
10,clothes,Одежда,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),0,
11,clothes,Одежда,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),0,
1,clothes,Одежда /+малый шум/,(майка носки кофта трусы куртка колготы),0,6
2,clothes,Одежда /+малый шум/,(платье рубашка штаны свитер пуховик шарф),0,6
3,clothes,Одежда /+малый шум/,(юбка футболка брюки гольфы плащ пижама),0,6
4,clothes,Одежда /+малый шум/,(шуба сарафан шорты топ костюм рубашка),0,6
5,clothes,Одежда /+малый шум/,(пальто толстовка халат пиджак купальник джинсы),0,6
6,clothes,Одежда /+малый шум/,(ветровка капри плавки жакет халат форма),0,6
7,clothes,Одежда /+малый шум/,(парка комбинезон блузка жилет бельё перчатки),0,6
8,clothes,Одежда /+малый шум/,(обуться померить одеться раздеться снять постирать),0,6
9,clothes,Одежда /+малый шум/,(полупальто леггинсы фартук варежки дубленка джемпер),0,6
10,clothes,Одежда /+малый шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),0,6
11,clothes,Одежда /+малый шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),0,6
1,clothes,Одежда /+средний шум/,(майка носки кофта трусы куртка колготы),0,20
2,clothes,Одежда /+средний шум/,(платье рубашка штаны свитер пуховик шарф),0,20
3,clothes,Одежда /+средний шум/,(юбка футболка брюки гольфы плащ пижама),0,20
4,clothes,Одежда /+средний шум/,(шуба сарафан шорты топ костюм рубашка),0,20
5,clothes,Одежда /+средний шум/,(пальто толстовка халат пиджак купальник джинсы),0,20
6,clothes,Одежда /+средний шум/,(ветровка капри плавки жакет халат форма),0,20
7,clothes,Одежда /+средний шум/,(парка комбинезон блузка жилет бельё перчатки),0,20
8,clothes,Одежда /+средний шум/,(обуться померить одеться раздеться снять постирать),0,20
