level,code,exerciseName,words,noiseLevel,noiseUrl
3,food,Что я ем,(огурец чай яйцо),0,
4,food,Что я ем,(каша суп сосиски торт хлеб компот),0,
5,food,Что я ем,(морковь помидор лук сыр яблоко банан),0,
6,food,Что я ем,(огурец брокколи чай пирожное конфета яйцо),0,
7,food,Что я ем,(бифштекс пюре сок кофе мороженое коктейль),0,
8,food,Что я ем,(пицца фри бургер кола капуста котлета),0,
9,food,Что я ем,(сыр творог молоко сметана батон хлеб),0,
10,food,Что я ем,(лазанья запеканка омлет яичница тост зелень),0,
11,food,Что я ем,(салат масло сахар соль перец какао),0,
12,food,Что я ем,(ем обедаю завтракаю ужинаю варю жарю),0,
13,food,Что я ем,(пончик мюсли ветчина джем варенье йогурт свинина говядина индейка),0,
14,food,Что я ем,(рыба морепродукты сэндвич бутерброд баклажан чеснок ягода пирог кефир),0,
15,food,Что я ем /+шум толпы/,(каша суп сосиски),0,crowd
16,food,Что я ем /+шум толпы/,(морковь помидор лук),0,crowd
17,food,Что я ем /+шум толпы/,(огурец чай яйцо),0,crowd
18,food,Что я ем /+шум толпы/,(каша суп сосиски торт хлеб компот),70,crowd
19,food,Что я ем /+шум толпы/,(морковь помидор лук сыр яблоко банан),70,crowd
20,food,Что я ем /+шум толпы/,(огурец брокколи чай пирожное конфета яйцо),70,crowd
21,food,Что я ем /+шум толпы/,(бифштекс пюре сок кофе мороженое коктейль),70,crowd
22,food,Что я ем /+шум толпы/,(пицца фри бургер кола капуста котлета),70,crowd
23,food,Что я ем /+шум толпы/,(сыр творог молоко сметана батон хлеб),70,crowd
24,food,Что я ем /+шум толпы/,(лазанья запеканка омлет яичница тост зелень),70,crowd
25,food,Что я ем /+шум толпы/,(салат масло сахар соль перец какао),70,crowd
26,food,Что я ем /+шум толпы/,(ем обедаю завтракаю ужинаю варю жарю),70,crowd
27,food,Что я ем /+шум толпы/,(пончик мюсли ветчина джем варенье йогурт свинина говядина индейка),70,crowd
28,food,Что я ем /+шум толпы/,(рыба морепродукты сэндвич бутерброд баклажан чеснок ягода пирог кефир),70,crowd
1,clothes,Одежда,(носки кофта колготы),0,
2,clothes,Одежда,(свитер пуховик шарф),0,
3,clothes,Одежда,(юбка футболка плащ),0,
4,clothes,Одежда,(майка носки кофта трусы куртка колготы),0,
5,clothes,Одежда,(платье рубашка штаны свитер пуховик шарф),0,
6,clothes,Одежда,(юбка футболка брюки гольфы плащ пижама),0,
7,clothes,Одежда,(шуба сарафан шорты топ костюм рубашка),0,
8,clothes,Одежда,(пальто толстовка халат пиджак купальник джинсы),0,
9,clothes,Одежда,(ветровка капри плавки жакет халат форма),0,
10,clothes,Одежда,(парка комбинезон блузка жилет бельё перчатки),0,
11,clothes,Одежда,(обуться померить одеться раздеться снять постирать),0,
12,clothes,Одежда,(полупальто легинсы фартук варежки дублёнка джемпер),0,
13,clothes,Одежда,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),0,
14,clothes,Одежда,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),0,
15,clothes,Одежда /+малый шум/,(майка носки кофта трусы куртка колготы),6,
16,clothes,Одежда /+малый шум/,(платье рубашка штаны свитер пуховик шарф),6,
17,clothes,Одежда /+малый шум/,(юбка футболка брюки гольфы плащ пижама),6,
18,clothes,Одежда /+малый шум/,(шуба сарафан шорты топ костюм рубашка),6,
19,clothes,Одежда /+малый шум/,(пальто толстовка халат пиджак купальник джинсы),6,
20,clothes,Одежда /+малый шум/,(ветровка капри плавки жакет халат форма),6,
21,clothes,Одежда /+малый шум/,(парка комбинезон блузка жилет бельё перчатки),6,
22,clothes,Одежда /+малый шум/,(обуться померить одеться раздеться снять постирать),6,
23,clothes,Одежда /+малый шум/,(полупальто легинсы фартук варежки дублёнка джемпер),6,
24,clothes,Одежда /+малый шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),6,
25,clothes,Одежда /+малый шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),6,
26,clothes,Одежда /+средний шум/,(майка носки кофта трусы куртка колготы),20,
27,clothes,Одежда /+средний шум/,(платье рубашка штаны свитер пуховик шарф),20,
28,clothes,Одежда /+средний шум/,(юбка футболка брюки гольфы плащ пижама),20,
29,clothes,Одежда /+средний шум/,(шуба сарафан шорты топ костюм рубашка),20,
30,clothes,Одежда /+средний шум/,(пальто толстовка халат пиджак купальник джинсы),20,
31,clothes,Одежда /+средний шум/,(ветровка капри плавки жакет халат форма),20,
32,clothes,Одежда /+средний шум/,(парка комбинезон блузка жилет бельё перчатки),20,
33,clothes,Одежда /+средний шум/,(обуться померить одеться раздеться снять постирать),20,
34,clothes,Одежда /+средний шум/,(полупальто легинсы фартук варежки дублёнка джемпер),20,
35,clothes,Одежда /+средний шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),20,
36,clothes,Одежда /+средний шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),20,
37,clothes,Одежда /+тяжелый шум/,(майка носки кофта трусы куртка колготы),40,
38,clothes,Одежда /+тяжелый шум/,(платье рубашка штаны свитер пуховик шарф),40,
39,clothes,Одежда /+тяжелый шум/,(юбка футболка брюки гольфы плащ пижама),40,
40,clothes,Одежда /+тяжелый шум/,(шуба сарафан шорты топ костюм рубашка),40,
41,clothes,Одежда /+тяжелый шум/,(пальто толстовка халат пиджак купальник джинсы),40,
42,clothes,Одежда /+тяжелый шум/,(ветровка капри плавки жакет халат форма),40,
43,clothes,Одежда /+тяжелый шум/,(парка комбинезон блузка жилет бельё перчатки),40,
44,clothes,Одежда /+тяжелый шум/,(обуться померить одеться раздеться снять постирать),40,
45,clothes,Одежда /+тяжелый шум/,(полупальто легинсы фартук варежки дублёнка джемпер),40,
46,clothes,Одежда /+тяжелый шум/,(дождевик худи парео сорочка кардиган водолазка гетры фуфайка шуба),40,
47,clothes,Одежда /+тяжелый шум/,(шапка мундир безрукавка следки боди тенниска бриджи мантия чулки),40,
1,school,В школе,(учитель двор директор),0,
2,school,В школе,(класс кабинет столовая),0,
3,school,В школе,(парта шкаф полки),0,
4,school,В школе,(школа крыльцо двор учитель ученик директор),0,
5,school,В школе,(класс кабинет зал столовая коридор туалет),0,
6,school,В школе,(доска парта стул тумба шкаф полки),0,
7,school,В школе,(завуч воспитатель вахтер буфет дорожка правило),0,
8,school,В школе,(учебник тетрадь журнал дневник мел указка),0,
9,school,В школе,(ручка карандаш линейка бумага ножницы клей),0,
10,school,В школе,(перемена урок звонок форма каникулы четверть),0,
11,school,В школе,(мяч канат сетка кольцо скакалка мат),0,
12,school,В школе,(отвечать решать читать писать говорить думать),0,
13,school,В школе,(пандус бордюр покрытие щит кегли стадион мишень бревно стойка),0,
14,school,В школе,(секундомер соревнование эстафета снаряд трибуна свисток инструмент выпускной учительская),0,
15,school,В школе /+голоса/,(учитель двор директор),0,voices
16,school,В школе /+голоса/,(класс кабинет столовая),0,voices
17,school,В школе /+голоса/,(парта шкаф полки),0,voices
18,school,В школе /+голоса/,(школа крыльцо двор учитель ученик директор),70,voices
19,school,В школе /+голоса/,(класс кабинет зал столовая коридор туалет),70,voices
20,school,В школе /+голоса/,(доска парта стул тумба шкаф полки),70,voices
21,school,В школе /+голоса/,(завуч воспитатель вахтер буфет дорожка правило),70,voices
22,school,В школе /+голоса/,(учебник тетрадь журнал дневник мел указка),70,voices
23,school,В школе /+голоса/,(ручка карандаш линейка бумага ножницы клей),70,voices
24,school,В школе /+голоса/,(перемена урок звонок форма каникулы четверть),70,voices
25,school,В школе /+голоса/,(мяч канат сетка кольцо скакалка мат),70,voices
26,school,В школе /+голоса/,(отвечать решать читать писать говорить думать),70,voices
27,school,В школе /+голоса/,(пандус бордюр покрытие щит кегли стадион мишень бревно стойка),70,voices
28,school,В школе /+голоса/,(секундомер соревнование эстафета снаряд трибуна свисток инструмент выпускной учительская),70,voices
1,math,Математика,(один три одиннадцать),0,
2,math,Математика,(ноль два четыре),0,
3,math,Математика,(двенадцать тысяча миллион),0,
4,math,Математика,(один три пять семь девять одиннадцать),0,
5,math,Математика,(ноль два четыре шесть восемь десять),0,
6,math,Математика,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),0,
7,math,Математика,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),0,
8,math,Математика,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),0,
9,math,Математика,(линия равно плюс минус умножение деление),0,
10,math,Математика,(пример линейка упражнение решать считать круг),0,
11,math,Математика,(математика сумма задача линейка сантиметр миллиметр),0,
12,math,Математика,(циркуль килограмм грамм дециметр тонна центнер),0,
13,math,Математика,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),0,
14,math,Математика /+малый шум/,(один три пять семь девять одиннадцать),6,
15,math,Математика /+малый шум/,(ноль два четыре шесть восемь десять),6,
16,math,Математика /+малый шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),6,
17,math,Математика /+малый шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),6,
18,math,Математика /+малый шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),6,
19,math,Математика /+малый шум/,(линия равно плюс минус умножение деление),6,
20,math,Математика /+малый шум/,(пример линейка упражнение решать считать круг),6,
21,math,Математика /+малый шум/,(математика сумма задача линейка сантиметр миллиметр),6,
22,math,Математика /+малый шум/,(циркуль килограмм грамм дециметр тонна центнер),6,
23,math,Математика /+малый шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),6,
24,math,Математика /+средний шум/,(один три пять семь девять одиннадцать),20,
25,math,Математика /+средний шум/,(ноль два четыре шесть восемь десять),20,
26,math,Математика /+средний шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),20,
27,math,Математика /+средний шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),20,
28,math,Математика /+средний шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),20,
29,math,Математика /+средний шум/,(линия равно плюс минус умножение деление),20,
30,math,Математика /+средний шум/,(пример линейка упражнение решать считать круг),20,
31,math,Математика /+средний шум/,(математика сумма задача линейка сантиметр миллиметр),20,
32,math,Математика /+средний шум/,(циркуль килограмм грамм дециметр тонна центнер),20,
33,math,Математика /+средний шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),20,
34,math,Математика /+тяжелый шум/,(один три пять семь девять одиннадцать),40,
35,math,Математика /+тяжелый шум/,(ноль два четыре шесть восемь десять),40,
36,math,Математика /+тяжелый шум/,(двенадцать четырнадцать шестнадцать восемнадцать тысяча миллион),40,
37,math,Математика /+тяжелый шум/,(тринадцать пятнадцать семнадцать девятнадцать двадцать тридцать),40,
38,math,Математика /+тяжелый шум/,(пятьдесят сорок шестьдесят восемьдесят девяносто сто),40,
39,math,Математика /+тяжелый шум/,(линия равно плюс минус умножение деление),40,
40,math,Математика /+тяжелый шум/,(пример линейка упражнение решать считать круг),40,
41,math,Математика /+тяжелый шум/,(математика сумма задача линейка сантиметр миллиметр),40,
42,math,Математика /+тяжелый шум/,(циркуль килограмм грамм дециметр тонна центнер),40,
43,math,Математика /+тяжелый шум/,(умножаю вычитаю делю сумма прибавляю час секунда минута сутки),40,
1,pets,Домашние питомцы,(кот собака хомяк),0,
2,pets,Домашние питомцы,(лает мяукает чирикает),0,
3,pets,Домашние питомцы,(миска корм поилка),0,
4,pets,Домашние питомцы,(кот собака хомяк черепаха кролик попугай),0,
5,pets,Домашние питомцы,(лает мяукает чирикает прыгает бегает ползает),0,
6,pets,Домашние питомцы,(клетка миска корм поилка колесо аквариум),0,
7,pets,Домашние питомцы,(рыбки щенок котики лоток крысы хорёк),0,
8,pets,Домашние питомцы,(поводок ошейник будка вольер хозяин команда),0,
9,pets,Домашние питомцы,(переноска ветеринар игрушка террариум овчарка лабрадор),0,
10,pets,Домашние питомцы,(любить ухаживать гладить мыть учить тренировать),0,
11,pets,Домашние питомцы,(петушок лапомойка котёнок мопс наполнитель шерсть),0,
