code, locale, name, description
NON_SPEECH_RU_RU, ru-ru, Неречевые упражнения, Неречевые упражнения
SPEECH_RU_RU, ru-ru, Речевые упражнения, Речевые упражнения
NON_SPEECH_EN_US, en-us, Non-Speech exercises, Non-Speech
SPEECH_EN_US, en-us, Speech exercises, Speech
