level,code,exerciseName,words,noiseLevel,noiseUrl
21,school,School /+crowd fon/,(pencil pupil school teacher scissors notebook),70,crowd
22,school,School /+crowd fon/,(Maths ruler pencil stapler novel classmate),70,crowd
23,school,School /+crowd fon/,(chalk English paper rubber scissors sharpener),70,crowd
24,school,School /+crowd fon/,(learn Maths Science novel teacher eraser),70,crowd
25,school,School /+crowd fon/,(brush coach laptop schoolbag playground Chemistry),70,crowd
26,school,School /+crowd fon/,(pen backpack library computer homework Physics),70,crowd
27,school,School /+crowd fon/,(book desk subject Biology highlighter eraser educate homework Geography),70,crowd
28,school,School /+crowd fon/,(map board learn Chemistry schoolbag Geography calculator dictionary pencil-case),70,crowd
1,math,Math,(one three seven),0,
2,math,Math,(two four zero),0,
3,math,Math,(six nine eight),0,
4,math,Math,(ten twelve thirteen fifteen seventeen nineteen),0,
5,math,Math,(eleven fourteen sixteen eighteen twenty forty),0,
6,math,Math,(sixty eighty thirty fifty seventy ninety),0,
7,math,Math,(star cross sum hundred thousand million),0,
8,math,Math,(arc oval area number divide formula),0,
9,math,Math,(half angle circle count triangle compare),0,
10,math,Math,(shape arrow square length multiply rectangle),0,
11,math,Math,(cube number equal arithmetic geometry frequency),0,
12,math,Math,(width numeral column classify division interval),0,
13,math,Math,(odd even length shape equal square number perimeter hierarchy),0,
14,math,Math,(graph hundred thousand million frequency arithmetic geometry multiplication measurement),0,
15,math,Math /+crowd fon/,(one three seven),70,crowd
16,math,Math /+crowd fon/,(two four zero),70,crowd
17,math,Math /+crowd fon/,(six nine eight),70,crowd
18,math,Math /+crowd fon/,(ten twelve thirteen fifteen seventeen nineteen),70,crowd
19,math,Math /+crowd fon/,(eleven fourteen sixteen eighteen twenty forty),70,crowd
20,math,Math /+crowd fon/,(sixty eighty thirty fifty seventy ninety),70,crowd
21,math,Math /+crowd fon/,(star cross sum hundred thousand million),70,crowd
22,math,Math /+crowd fon/,(arc oval area number divide formula),70,crowd
23,math,Math /+crowd fon/,(half angle circle count triangle compare),70,crowd
24,math,Math /+crowd fon/,(shape arrow square length multiply rectangle),70,crowd
25,math,Math /+crowd fon/,(cube number equal arithmetic geometry frequency),70,crowd
26,math,Math /+crowd fon/,(width numeral column classify division interval),70,crowd
27,math,Math /+crowd fon/,(odd even length shape equal square number perimeter hierarchy),70,crowd
28,math,Math /+crowd fon/,(graph hundred thousand million frequency arithmetic geometry multiplication measurement),70,crowd
1,pets,Pets,(dog cat pig),0,
2,pets,Pets,(cow fish duck),0,
3,pets,Pets,(cat duck turtle goat deer horse),0,
4,pets,Pets,(dog fish sheep mouse puppy kitten),0,
5,pets,Pets,(pig goat horse rabbit chicken hamster),0,
1,animals,Animals,(dog bat elk),0,
2,animals,Animals,(ox rat frog),0,
3,animals,Animals,(fox crab horse),0,
4,animals,Animals,(wolf lion crab deer panda sheep),0,
5,animals,Animals,(frog goat bear snake turtle camel),0,
6,animals,Animals,(ox lion horse monkey lizard koala),0,
7,animals,Animals,(elk bear snake sheep gorilla squirrel),0,
8,animals,Animals,(fox deer turtle koala dolphin giraffe),0,
9,animals,Animals,(rat camel koala lizard squirrel iguana),0,
10,animals,Animals,(ox bat wolf monkey kangaroo crocodile),0,
11,animals,Animals,(crab sheep dolphin lizard elephant alligator),0,
