level exerciseName orderNumber word audioFileName pictureFileName words wordType
3 "Однослоговые слова малым шумом" 36 ход noise_6db/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот) OBJECT
3 "Однослоговые слова малым шумом" 37 шеф noise_6db/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет) OBJECT
3 "Однослоговые слова малым шумом" 38 мор noise_6db/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор) OBJECT
1 "Однослоговые слова c сильным шумом" 20 бал noise_9db/бал.mp3 pictures/бал.jpg (бам,сам,дам,зал,бак) OBJECT
1 "Однослоговые слова c сильным шумом" 21 бум noise_9db/бум.mp3 pictures/бум.jpg (зум,кум,шум,зуб,куб) OBJECT
1 "Однослоговые слова c сильным шумом" 22 быль noise_9db/быль.mp3 pictures/быль.jpg (пыль,соль,мыль,дыль,киль) OBJECT
1 "Однослоговые слова c сильным шумом" 23 вить noise_9db/вить.mp3 pictures/вить.jpg (бить,жить,мыль,выть,лить) OBJECT_ACTION
1 "Однослоговые слова c сильным шумом" 24 гад noise_9db/гад.mp3 pictures/гад.jpg (бад,сад,рад,бак,рать) OBJECT
1 "Однослоговые слова c сильным шумом" 25 дуб noise_9db/дуб.mp3 pictures/дуб.jpg (зуб,суд,мут,рут,пуд) OBJECT
2 "Однослоговые слова c сильным шумом" 26 линь noise_9db/линь.mp3 pictures/линь.jpg (пить,винь,лить,кинь,миль) OBJECT
2 "Однослоговые слова c сильным шумом" 27 лис noise_9db/лис.mp3 pictures/лис.jpg (пис,вис,мис,лиз,приз) OBJECT
2 "Однослоговые слова c сильным шумом" 28 моль noise_9db/моль.mp3 pictures/моль.jpg (боль,соль,воль,коль,доль) OBJECT
2 "Однослоговые слова c сильным шумом" 29 пар noise_9db/пар.mp3 pictures/пар.jpg (жар,кар,вар,мар,пат) OBJECT
2 "Однослоговые слова c сильным шумом" 30 пять noise_9db/пять.mp3 pictures/пять.jpg (жать,спать,врать,мать,пать) COUNT
2 "Однослоговые слова c сильным шумом" 31 раб noise_9db/раб.mp3 pictures/раб.jpg (жар,бар,сар,вар,тар) OBJECT
3 "Однослоговые слова c сильным шумом" 32 рак noise_9db/рак.mp3 pictures/рак.jpg (мар,жак,пак,нак,так) OBJECT
3 "Однослоговые слова c сильным шумом" 33 рожь noise_9db/рожь.mp3 pictures/рожь.jpg (ложь,мож,сож,кожа,вошь) OBJECT
3 "Однослоговые слова c сильным шумом" 34 сеть noise_9db/сеть.mp3 pictures/сеть.jpg (петь,жечь,речь,леть,веть) OBJECT
3 "Однослоговые слова c сильным шумом" 35 топь noise_9db/топь.mp3 pictures/топь.jpg (пот,сопь,ропь,моть,коть) OBJECT
3 "Однослоговые слова c сильным шумом" 36 ход noise_9db/ход.mp3 pictures/ход.jpg (сад,пот,рот,сот,кот) OBJECT
3 "Однослоговые слова c сильным шумом" 37 шеф noise_9db/шеф.mp3 pictures/шеф.jpg (пеф,сеф,рев,тев,пет) OBJECT
3 "Однослоговые слова c сильным шумом" 38 мор noise_9db/мор.mp3 pictures/мор.jpg (сор,лор,жор,пор,дор) OBJECT
